slowo_kluczowe,volume,pozycja,KD,szac_ruch
wolontariat,5400,10,75,83.16
toz schronisko dla bezdomnych zwierząt we wrocławiu,3600,11,24,0.0
iwolontariusz,2900,28,42,0.0
centrum historii zajezdnia,2900,38,36,0.0
schronisko dla zwierząt wrocław,1900,31,51,0.0
cis wrocław,1900,22,51,0.0
zajezdnia wrocław,1000,33,41,0.0
wolontariusze wrocław,880,1,67,313.28
wolontariat wrocław,880,1,65,313.28
toz wrocław,880,16,52,0.0
hospicjum wrocławskie,720,35,52,0.0
powiatowe centrum pomocy rodzinie wrocław,590,9,15,10.62
centrum zajezdnia,590,33,40,0.0
veritatis wrocław,390,6,39,14.47
fundacja wrocław,390,17,57,0.0
gdzie potrzebują wolontariuszy,390,13,56,0.0
wolontariat szczecin,390,33,59,0.0
veritas wrocław,390,21,45,0.0
międzynarodowy dzień wolontariusza,320,10,34,0.0
chałupnicza wrocław,320,32,33,0.0
wrocławskie centrum integracji,320,30,21,0.0
wolontariat w domu dziecka,320,42,53,0.0
wolontariat dla 8 klasisty,260,3,35,27.95
wrocławski instytut kultury,260,9,20,4.68
8 wspaniałych,260,33,40,0.0
centrum wolontariatu,260,16,32,0.0
szlachetna paczka wrocław,260,21,33,0.0
wrocławskie centrum rozwoju społecznego,260,17,18,0.0
fundacja nasza ziemia,260,19,31,0.0
konkursy wrocław,260,23,47,0.0
rodzaje wolontariuszy,210,19,44,0.0
uniwersytet dzieci wrocław,210,11,40,0.0
uniwersytet dziecięcy wrocław,210,28,40,0.0
wolontariat dla młodzieży,170,2,52,29.78
rodzaje wolontariatu,170,13,42,0.0
ośmiu wspaniałych,170,29,32,0.0
centrum historii zajezdnia wrocław,170,37,30,0.0
schronisko dla bezdomnych zwierząt wrocław,170,27,29,0.0
e wolontariusz,170,32,44,0.0
praca charytatywna,140,3,47,15.05
wolontariat dla dzieci,140,4,68,9.94
półkolonie żeglarskie wrocław,140,10,31,2.16
znajdź wolontariat,140,10,49,2.16
fundacja dla zwierząt wrocław,140,26,41,0.0
fop wrocław,140,30,23,0.0
dzień wolontariatu,140,17,37,0.0
nefrytowa wrocław,140,36,24,0.0
wolontariusz sportowy,140,27,40,0.0
mikrogranty wrocław,140,26,24,0.0
wratislaviae amici,140,25,24,0.0
coworking wrocław za darmo,140,45,21,0.0
wolontariat od 13 lat,110,1,31,39.16
otwarta wrocław,110,34,41,0.0
formuła dobra,110,51,37,0.0
praca wolontariat,110,14,50,0.0
praca w fundacji wrocław,110,27,24,0.0
sektor 3 wrocław,110,33,47,0.0
pręgowane i skrzydlate,110,39,19,0.0
hospicjum ojców bonifratrów,110,28,25,0.0
fundacja na ratunek bezdomniakom,110,26,18,0.0
centrum zajezdnia wrocław,110,33,36,0.0
wolontariat wrocław od 13 lat,90,1,33,32.04
wolontariat schronisko wrocław,90,2,52,15.77
stowarzyszenie wrocław,90,8,41,2.01
oferty wolontariatu,90,9,52,1.62
centrum historii zajezdnia grabiszyńska wrocław,90,37,22,0.0
wolontariat psychologia warszawa,90,31,27,0.0
l arche wrocław,90,26,29,0.0
sanitas wrocław,90,34,23,0.0
organizacje wolontariackie,90,13,41,0.0
rodo wrocław,90,39,55,0.0
sponsoring wrocław,90,43,41,0.0
gala wolontariatu,90,40,29,0.0
stara zajezdnia wrocław,90,37,31,0.0
włókniarzy wrocław,90,15,30,0.0
wolontariat dla studenta psychologii,90,39,45,0.0
schronisko dla kotów wrocław,90,43,32,0.0
siemacha wrocław,90,22,28,0.0
ngo wrocław,90,40,52,0.0
perfect dance,90,16,45,0.0
płatny wolontariat,70,4,51,4.97
fundacja katarynka wrocław,70,8,20,1.56
praca wolontariacka,70,10,37,1.08
wolontariat psychologia,70,10,31,1.08
ubezpieczenie wolontariusza,70,9,29,0.9
wolontariat legnica,70,28,22,0.0
stowarzyszenie centrum wolontariatu,70,17,31,0.0
muzeum historii zajezdnia,70,40,30,0.0
wca wrocław,70,14,23,0.0
umbrella wrocław,70,15,47,0.0
system obsługi wolontariatu,70,30,27,0.0
wolontariat pruszków,70,24,21,0.0
wolontariat sportowy,70,12,33,0.0
ratuj wrocław,70,28,30,0.0
wolontariat w polsce,70,47,42,0.0
umowa o wolontariat a zus,70,38,22,0.0
cancer fighters wrocław,70,18,22,0.0
fundacja koty wrocław,70,38,45,0.0
wolontariat jelenia góra,70,44,20,0.0
praca wolontariusza,70,13,40,0.0
humanitarium wrocław,70,32,28,0.0
fundacja wolontariat,50,2,46,8.76
wrocław na językach świata,50,5,31,2.52
propozycje wolontariatu,50,6,41,1.86
wolontariat 8 klasa gdzie,50,6,41,1.86
rekrutacja wolontariuszy,50,7,42,1.42
sklep zajezdnia,50,9,28,0.9
szukam wolontariusza,50,10,45,0.77
praca wolontaryjna,50,10,31,0.77
zadania wolontariatu,50,28,41,0.0
wolontariat w cv,50,34,32,0.0
festiwal wolontariatu,50,37,35,0.0
czy można zostać wolontariuszem w wieku 12 lat,50,21,21,0.0
wrocławskie schronisko dla zwierząt,50,40,22,0.0
proactiv wrocław,50,13,22,0.0
toz wrocław towarzystwo opieki nad zwierzętami,50,26,19,0.0
toz schronisko wrocław,50,16,31,0.0
gdzie ósmoklasista może odbyć wolontariat,50,39,27,0.0
identyfikator wolontariusza,50,36,32,0.0
umowa wolontariacka a zus,50,28,19,0.0
wolontariat seksualny,50,18,29,0.0
schronisko wrocław godziny otwarcia,50,44,29,0.0
obowiązki wolontariusza,50,16,31,0.0
dom dziecka wrocław jak pomoc,50,15,37,0.0
fandom wrocław,50,38,21,0.0
wolontariat wrocław pomoc osobom starszym,40,2,18,7.01
dom dziecka wrocław wolontariat,40,3,25,4.3
wolontariat wrocław zwierzęta,40,5,29,2.01
hobbit wrocław,40,7,22,1.13
wolontariat gorzów,40,9,28,0.72
koordynator wolontariatu,40,38,29,0.0
hospicjum dziecięce wrocław,40,51,27,0.0
czy umowę o wolontariat trzeba gdzieś zgłaszać,40,13,14,0.0
formy wolontariatu,40,13,38,0.0
akcje wolontariatu,40,35,37,0.0
wolontariat ósmoklasisty,40,11,43,0.0
organizacja wolontariatu,40,28,42,0.0
wolontariat lubin,40,34,21,0.0
hospicjum formuła dobra,40,22,20,0.0
charity shop wrocław,40,35,27,0.0
międzynarodowy dzień wolontariatu,40,32,33,0.0
gdzie oddać nakrętki wrocław,40,40,25,0.0
uniwersytet dzieci wolontariat,40,21,26,0.0
wolontariusz 1944,40,27,28,0.0
zajęcia dla dorosłych wrocław,40,34,28,0.0
towarzystwo opieki nad zwierzętami wrocław,40,37,22,0.0
salezjański wolontariat misyjny wrocław,40,27,14,0.0
hospicjum dla dzieci dolnego śląska formuła dobra,40,28,11,0.0
centrum pomocy rodzinie wrocław,40,11,29,0.0
cs natura tour wrocław,40,32,20,0.0
wolontariat wrocław dla dzieci,30,1,22,10.68
wolontariat psychologia wrocław,30,1,29,10.68
wolontariat przytulanie dzieci wrocław,30,2,17,5.26
wolontariat wrocław zoo,30,3,21,3.23
wolontariat hasła,30,4,26,2.84
wolontariat hospicjum wrocław,30,5,43,1.51
od ilu lat można być wolontariuszem,30,27,21,0.0
toz wrocław interwencje,30,25,18,0.0
czy wolontariat to praca,30,40,37,0.0
darmowy kurs pierwszej pomocy wrocław,30,29,11,0.0
wolontariat dla nieletnich,30,20,50,0.0
wolontariat stalowa wola,30,21,37,0.0
wrocławska inicjatywa rowerowa,30,13,21,0.0
wrocławska akademia pierwszej pomocy,30,28,32,0.0
akcje wolontariackie,30,12,34,0.0
fundacja dajmy szansę,30,14,27,0.0
wolontariat oleśnica,30,45,29,0.0
organizacja pożytku publicznego wrocław,30,34,17,0.0
wolontariat w schronisku od 12 lat,30,14,22,0.0
wolontariat w szpitalu psychiatrycznym,30,39,16,0.0
szkolenia dla wolontariuszy,30,21,51,0.0
wolontariat inowrocław,30,20,46,0.0
wolontariat fizjoterapia,30,33,25,0.0
porozumienie o wykonywaniu świadczeń wolontarystycznych,30,36,13,0.0
światowy dzień wolontariatu,30,41,31,0.0
wolontariat starogard gdański,30,36,18,0.0
światowy dzień wolontariusza,30,29,21,0.0
elwat wrocław,30,23,27,0.0
e wolontariat oferty,30,20,0,0.0
prawa i obowiązki wolontariusza,30,20,20,0.0
instytucja kultury wrocław,30,48,36,0.0
wolontariat świdnica,30,15,21,0.0
jedności narodowej 117 wrocław,30,20,18,0.0
ukraiński wrocław,30,28,38,0.0
ładne osoby,30,28,38,0.0
fundacja hobbit wrocław,30,20,14,0.0
strzegomska 49 wrocław,30,20,14,0.0
konkurs ośmiu wspaniałych,30,29,22,0.0
wolontariat akcyjny,30,17,27,0.0
wolontariat dla niepełnoletnich,30,22,30,0.0
wolontariat dla psychologa,30,20,29,0.0
everest wrocław,30,43,16,0.0
gdzie można odbyć wolontariat,30,12,38,0.0
wolontariat od 12 lat,30,18,30,0.0
ośmiu wspaniałych wrocław,20,1,24,7.12
wolontariat dla młodzieży wrocław,20,1,23,7.12
wolontariat szpital wrocław,20,1,28,7.12
centrum wolontariatu wrocław,20,1,29,3.56
wolontariat dla nastolatków,20,2,36,3.5
akcje charytatywne wrocław,20,2,28,3.5
perfect dance wrocław,20,4,28,1.42
fundacja podaj dalej wrocław,20,4,19,1.42
wolontariat a ubezpieczenie zdrowotne,20,5,22,1.01
jakie są wolontariaty,20,6,43,0.74
gdzie mozna zrobic wolontariat,20,8,33,0.45
nazwa wolontariatu,20,8,39,0.45
nfm wolontariat,20,9,19,0.36
wolontariat ubezpieczenie,20,9,32,0.36
jakie są rodzaje wolontariatu,20,9,33,0.36
oferty pracy dla wolontariuszy,20,9,35,0.36
wolontariat dla dorosłych,20,9,37,0.36
pomoc wolontariuszy,20,10,52,0.31
poszukujemy wolontariuszy,20,10,26,0.15
mam marzenie wolontariat,20,19,26,0.0
wolontariat knurów,20,20,19,0.0
dom małego dziecka wolontariat,20,27,29,0.0
samarytanin wrocław,20,29,27,0.0
wolontariat garwolin,20,18,19,0.0
fundacja wolontariat równości,20,44,23,0.0
wolontariat sportowy przykłady,20,12,28,0.0
fundacje dla dzieci wrocław,20,22,47,0.0
fundacja onkologiczna wrocław,20,37,35,0.0
pola nadziei wrocław,20,35,25,0.0
pomoc dla seniora wolontariat,20,43,30,0.0
o wolontariacie,20,17,46,0.0
dolnośląskie stowarzyszenie rozwoju żeglarstwa,20,41,12,0.0
fundacja na rzecz studiów europejskich,20,11,22,0.0
fundacja ocalenie wolontariat,20,13,23,0.0
znany wolontariusz,20,42,30,0.0
adopciaki wrocław,20,27,22,0.0
wrocław pl dominikański 6,20,27,30,0.0
zadania wolontariusza,20,22,45,0.0
csr wrocław,20,33,29,0.0
fundacja im ks w latosa,20,26,14,0.0
royal rangers wrocław,20,12,28,0.0
wolontariat siatkówka,20,35,28,0.0
konkurs 8 wspaniałych,20,26,33,0.0
stowarzyszenie promocji wolontariatu,20,39,23,0.0
wolontariat mokotów,20,21,26,0.0
hospicjum poświętne wrocław,20,36,21,0.0
historia wolontariatu,20,24,39,0.0
idea wolontariatu,20,22,28,0.0
zadania wykonywane przez wolontariuszy,20,35,27,0.0
fundacja wolontariusz miasta,20,17,32,0.0
fundacja l arche wrocław,20,28,15,0.0
hospicjum ojców bonifratrów wrocław,20,32,17,0.0
wolontariat od ilu lat,20,19,27,0.0
siemacha spot wrocław,20,32,17,0.0
koordynator wolontariatu w szkole,20,48,26,0.0
wolontariat stały,20,21,32,0.0
pomoc wolontariat,20,17,47,0.0
katarynka wrocław,20,13,20,0.0
lions club wrocław,20,27,16,0.0
wolontariat kościan,20,15,20,0.0
umiejętności wolontariusza,20,37,40,0.0
wolontariat pomoc dzieciom,20,11,42,0.0
wolontariat gorlice,20,18,19,0.0
zaświadczenie o wykonywaniu świadczeń przez wolontariusza,20,34,19,0.0
czy można zostać wolontariuszem w wieku 11 lat,20,44,25,0.0
chcę zostać wolontariuszem,20,26,57,0.0
roznoszenie ulotek wrocław 13 lat,20,20,14,0.0
szkolenia wolontariat,20,31,31,0.0
salwatorianie wrocław,20,22,21,0.0
uniwersyteckie centrum wolontariatu,20,11,17,0.0
toz wrocław telefon,20,12,21,0.0
uniwersytet dzieci logo,20,12,40,0.0
udział w wolontariacie,20,11,39,0.0
siemacha facebook,20,25,21,0.0
ikona wrocław,20,23,36,0.0
wolontariat nysa,20,12,21,0.0
wolontariat akcje charytatywne,20,16,26,0.0
otoz animals wrocław,20,39,35,0.0
ccw wrocław,20,32,17,0.0
ubezpieczenie nnw wolontariusza,20,19,31,0.0
wolontariat korepetycje,20,24,49,0.0
wolontariat jarosław,20,18,27,0.0
gdzie można być wolontariuszem,20,13,37,0.0
barwy wolontariatu,20,24,36,0.0
fundacja made in brochów,20,17,13,0.0
organizacje pozarządowe wrocław,20,36,27,0.0
gdzie na wolontariat,10,1,48,3.56
wrocławskie centrum wolontariatu,10,1,26,3.56
wolontariat dolny śląsk,10,1,26,3.56
fundacja wrocław wolontariat,10,1,28,3.56
wolontariat wrocław oferty,10,1,27,3.56
miejskie centrum wolontariatu,10,1,26,3.56
organizacje charytatywne wrocław,10,1,36,3.56
praca wolontariat wrocław,10,1,29,3.56
gdzie są potrzebni wolontariusze,10,2,28,1.75
wolontariat dla 14 latka,10,2,30,1.75
ogrody społeczne wrocław,10,4,31,0.71
wrocław schronisko dla zwierząt wolontariat,10,5,17,0.5
wolontariat wrocław ukraina,10,5,24,0.5
gdzie można zostać wolontariuszem,10,5,37,0.5
gdzie można pracować jako wolontariusz,10,5,28,0.5
siemacha wolontariat,10,6,27,0.37
toz wrocław wolontariat,10,6,19,0.37
studenckie centrum wolontariatu,10,6,22,0.37
potrzebni wolontariusze,10,6,42,0.37
pomoc dzieciom wrocław,10,7,36,0.28
wolontariat na rzecz dzieci,10,8,34,0.22
kangurowanie wolontariat,10,8,25,0.22
organizacje pozarządowe wrocław praca,10,8,19,0.22
typy wolontariatu,10,9,35,0.18
stowarzyszenie pomocy wzajemnej im stefana kardynała wyszyńskiego,10,9,8,0.18
warsztaty dla wolontariuszy,10,9,25,0.18
towarzystwo nasz dom wrocław,10,10,21,0.15
centra wolontariatu,10,10,41,0.15
dni wolontariatu,10,10,34,0.15
od którego roku życia można być wolontariuszem,10,10,26,0.15
referencje wolontariat,10,11,25,0.0
zielony ogród wrocław,10,38,34,0.0
dom dziecka szczecin wolontariat,10,46,24,0.0
fundacja szuka wolontariuszy,10,12,28,0.0
wolontariat org pl,10,24,25,0.0
wolontariat a zus,10,16,24,0.0
stowarzyszenie ojców wrocław,10,18,35,0.0
scale up wrocław,10,36,29,0.0
bezpłatne warsztaty wrocław,10,32,28,0.0
wolontariat humanitarny,10,16,34,0.0
zakres czynności wolontariusza,10,38,26,0.0
fundacje dolny śląsk,10,31,26,0.0
formy wolontariatu w polsce,10,18,31,0.0
praca stowarzyszenie wrocław,10,28,31,0.0
ogłoszenia wolontariat,10,15,37,0.0
gdzie oddać kota wrocław,10,35,35,0.0
muzeum zajezdnia wrocław godziny otwarcia,10,41,19,0.0
wolontariat społeczny,10,13,37,0.0
nabór wolontariuszy,10,14,37,0.0
w ramach wolontariatu,10,13,42,0.0
prawa wolontariusza,10,20,39,0.0
wolontariat rodzinny,10,25,30,0.0
zbiórka nakrętek wrocław,10,35,24,0.0
fundacja maio wrocław,10,27,15,0.0
wolontariat w świetlicy środowiskowej,10,44,19,0.0
ubezpieczenie wolontariusza w zus,10,20,18,0.0
workcamps pl,10,25,22,0.0
wolontariat przepisy,10,27,33,0.0
czy wolontariat można wpisać w cv,10,33,20,0.0
centrum historii zajezdnia godziny otwarcia,10,37,15,0.0
l arche wroclaw,10,18,28,0.0
stowarzyszenie wolontariat,10,42,35,0.0
wolontariat pomoc w nauce,10,19,26,0.0
wirtualny wolontariat,10,16,27,0.0
schronisko toz,10,17,49,0.0
wolontariat rekrutacja do liceum,10,35,36,0.0
fundacja hobbit opinie,10,12,17,0.0
opera wrocławska wolontariat,10,17,20,0.0
darłowskie centrum wolontariatu,10,28,16,0.0
gdzie potrzeba wolontariuszy,10,14,38,0.0
ciekawy wolontariat,10,28,39,0.0
bezpartyjny wrocław,10,23,19,0.0
wolontariat w szpitalu od ilu lat,10,36,12,0.0
wctd wrocław,10,40,18,0.0
kiwi wolontariat,10,19,23,0.0
wolontariat opieka nad dziećmi,10,49,25,0.0
dzień wolontariusza informacje,10,13,28,0.0
rodziny zastępcze wrocław,10,26,26,0.0
wolontariat a składki zus,10,26,18,0.0
kurs wolontariatu,10,18,30,0.0
jedności wrocław,10,19,39,0.0
edukacja kreatywna wrocław,10,21,22,0.0
stowarzyszenie medyczne hospicjum dla dzieci dolnego śląska formuła dobra,10,30,5,0.0
kreatywny wrocław,10,31,35,0.0
fundacja familijny wrocław,10,13,14,0.0
konkursy dla wolontariuszy,10,12,31,0.0
funkcje wolontariatu,10,31,40,0.0
stowarzyszenie pomocy wzajemnej,10,11,27,0.0
fundacja dla zdrowia dzieci im janusza korczaka we wrocławiu,10,23,0,0.0
fundacja mam marzenie wolontariat,10,30,22,0.0
guwernantka wrocław,10,19,22,0.0
joanna hadryś,10,25,17,0.0
kardynała stefana wyszyńskiego wrocław,10,17,20,0.0
stowarzyszenie siemacha wrocław,10,14,22,0.0
porozumienie o współpracy wolontariat,10,25,24,0.0
wolontariat onkologia,10,44,29,0.0
8 wspaniałych uczestnicy,10,42,30,0.0
kocia fundacja wrocław,10,39,28,0.0
pogotowie naukowe,10,35,27,0.0
wolontariat w domu dziecka piaseczno,10,42,7,0.0
kilometry pomocy wrocław,10,35,27,0.0
hospicjum dla dzieci dolnego śląska,0,19,34,0.0
hospicjum wrocław dla dorosłych,0,36,37,0.0
